t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1574464991,5861,4,3.360000,3,0.489898,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1574464992,5886,23,3.080000,1,4.192454,2.000000,3.000000,17.000000,23.000000,23.000000,23.000000
1574464993,5911,5,2.360000,1,0.952190,2.000000,3.000000,4.700000,5.000000,5.000000,5.000000
1574464994,5935,5,2.583333,1,1.059806,2.000000,3.000000,4.750000,5.000000,5.000000,5.000000
1574464995,5960,7,4.040000,2,1.171893,4.000000,5.000000,6.700000,7.000000,7.000000,7.000000
1574464996,5985,6,4.160000,3,1.027943,4.000000,5.000000,6.000000,6.000000,6.000000,6.000000
1574464997,6010,5,3.680000,3,0.627163,4.000000,4.000000,5.000000,5.000000,5.000000,5.000000
1574464998,6035,4,3.120000,2,0.525991,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574464999,6059,27,4.375000,2,4.870608,3.000000,4.000000,21.500000,27.000000,27.000000,27.000000
1574465000,6084,25,4.560000,3,4.301938,4.000000,4.000000,19.000000,25.000000,25.000000,25.000000
1574465001,6109,4,3.400000,3,0.500000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000
1574465002,6134,3,2.640000,2,0.489898,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574465003,6158,4,2.708333,2,0.624094,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000
1574465004,6183,13,3.200000,2,2.121320,3.000000,3.000000,10.300000,13.000000,13.000000,13.000000
1574465005,6208,3,1.680000,1,0.627163,2.000000,2.000000,3.000000,3.000000,3.000000,3.000000
1574465006,6233,14,2.680000,1,2.444722,2.000000,3.000000,10.700000,14.000000,14.000000,14.000000
1574465007,6257,33,4.041667,2,6.188904,3.000000,3.000000,25.750000,33.000000,33.000000,33.000000
1574465008,6282,3,2.600000,2,0.500000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000
1574465009,6307,32,4.000000,1,5.909033,3.000000,4.000000,23.600000,32.000000,32.000000,32.000000
1574465010,6332,6,4.400000,3,1.080123,4.000000,5.000000,6.000000,6.000000,6.000000,6.000000
1574465011,6356,34,6.416667,3,5.963050,5.500000,6.000000,27.250000,34.000000,34.000000,34.000000
1574465012,6381,27,7.040000,5,4.237531,6.000000,7.000000,21.300000,27.000000,27.000000,27.000000
1574465013,6406,8,7.000000,6,0.707107,7.000000,7.500000,8.000000,8.000000,8.000000,8.000000
1574465014,6431,27,8.160000,6,3.975760,7.000000,8.000000,21.600000,27.000000,27.000000,27.000000
1574465015,6455,9,7.750000,7,0.531610,8.000000,8.000000,8.750000,9.000000,9.000000,9.000000
1574465016,6480,18,7.000000,6,2.362908,7.000000,7.000000,15.000000,18.000000,18.000000,18.000000
